number_of_towns,elapsed_time,elapsed_time_log
2,63136,11.053046408822341
3,132161,11.791776155312135
4,332112,12.713227540406702
5,1448723,14.186193036706609
6,6318510,15.658993978833731
7,35501119,17.385074775075626
8,214898209,19.185675027469124
9,1697453495,21.252395020851004
10,15798316970,23.483169250419504
